Sl. No.,NT,THT,THt2,THQCr,CT,Ct3,DT,Dt4,QmT,TT,Tt5,TCr,C,Ni,Cr,Mo,Fatigue,,,
1,885,30,0,0,30,0,30,0,30,30,0,0,0.26,0.01,0.02,0,232,,,
2,885,30,0,0,30,0,30,0,30,30,0,0,0.25,0.08,0.12,0,235,,,
3,885,30,0,0,30,0,30,0,30,30,0,0,0.26,0.02,0.03,0,235,,,
4,885,30,0,0,30,0,30,0,30,30,0,0,0.26,0.01,0.02,0,241,,,
5,885,30,0,0,30,0,30,0,30,30,0,0,0.22,0.01,0.02,0,225,,,
6,885,30,0,0,30,0,30,0,30,30,0,0,0.26,0.02,0.05,0,245,,,
7,885,30,0,0,30,0,30,0,30,30,0,0,0.28,0.02,0.03,0,255,,,
8,885,30,0,0,30,0,30,0,30,30,0,0,0.27,0.01,0.02,0,245,,,
9,885,30,0,0,30,0,30,0,30,30,0,0,0.27,0.06,0.1,0,275,,,
10,885,30,0,0,30,0,30,0,30,30,0,0,0.22,0.02,0.02,0,239,,,
11,885,30,0,0,30,0,30,0,30,30,0,0,0.23,0.01,0.03,0,255,,,
12,865,865,30,24,30,0,30,0,30,550,60,24,0.35,0.01,0.01,0,397,,,
13,865,865,30,24,30,0,30,0,30,550,60,24,0.35,0.01,0.1,0,419,,,
14,865,865,30,24,30,0,30,0,30,550,60,24,0.34,0.01,0.02,0,401,,,
15,865,865,30,24,30,0,30,0,30,550,60,24,0.36,0.08,0.12,0,394,,,
16,865,865,30,24,30,0,30,0,30,550,60,24,0.33,0.01,0.03,0,426,,,
17,865,865,30,24,30,0,30,0,30,550,60,24,0.38,0.06,0.09,0,426,,,
18,865,865,30,24,30,0,30,0,30,550,60,24,0.33,0.01,0.1,0,454,,,
19,865,865,30,24,30,0,30,0,30,550,60,24,0.32,0.02,0.02,0,418,,,
20,865,865,30,24,30,0,30,0,30,550,60,24,0.37,0.01,0.11,0,416,,,
21,865,865,30,24,30,0,30,0,30,550,60,24,0.35,0.03,0.01,0,395,,,
22,865,865,30,24,30,0,30,0,30,550,60,24,0.37,0.02,0.02,0,433,,,
23,865,865,30,24,30,0,30,0,30,550,60,24,0.32,0.06,0.1,0,379,,,
24,865,865,30,24,30,0,30,0,30,600,60,24,0.35,0.01,0.01,0,382,,,
25,865,865,30,24,30,0,30,0,30,600,60,24,0.35,0.01,0.1,0,385,,,
26,865,865,30,24,30,0,30,0,30,600,60,24,0.34,0.01,0.02,0,365,,,
27,865,865,30,24,30,0,30,0,30,600,60,24,0.36,0.08,0.12,0,379,,,
28,865,865,30,24,30,0,30,0,30,600,60,24,0.33,0.01,0.03,0,377,,,
29,865,865,30,24,30,0,30,0,30,600,60,24,0.38,0.06,0.09,0,394,,,
30,865,865,30,24,30,0,30,0,30,600,60,24,0.33,0.01,0.1,0,425,,,
31,865,865,30,24,30,0,30,0,30,600,60,24,0.32,0.02,0.02,0,395,,,
32,865,865,30,24,30,0,30,0,30,600,60,24,0.37,0.01,0.11,0,393,,,
33,865,865,30,24,30,0,30,0,30,600,60,24,0.35,0.03,0.01,0,375,,,
34,865,865,30,24,30,0,30,0,30,600,60,24,0.37,0.02,0.02,0,389,,,
35,865,865,30,24,30,0,30,0,30,600,60,24,0.32,0.06,0.1,0,358,,,
36,865,865,30,24,30,0,30,0,30,650,60,24,0.35,0.01,0.01,0,344,,,
37,865,865,30,24,30,0,30,0,30,650,60,24,0.35,0.01,0.1,0,369,,,
38,865,865,30,24,30,0,30,0,30,650,60,24,0.34,0.01,0.02,0,325,,,
39,865,865,30,24,30,0,30,0,30,650,60,24,0.36,0.08,0.12,0,338,,,
40,865,865,30,24,30,0,30,0,30,650,60,24,0.33,0.01,0.03,0,362,,,
41,865,865,30,24,30,0,30,0,30,650,60,24,0.38,0.06,0.09,0,361,,,
42,865,865,30,24,30,0,30,0,30,650,60,24,0.33,0.01,0.1,0,385,,,
43,865,865,30,24,30,0,30,0,30,650,60,24,0.32,0.02,0.02,0,348,,,
44,865,865,30,24,30,0,30,0,30,650,60,24,0.37,0.01,0.11,0,368,,,
45,865,865,30,24,30,0,30,0,30,650,60,24,0.35,0.03,0.01,0,341,,,
46,865,865,30,24,30,0,30,0,30,650,60,24,0.37,0.02,0.02,0,365,,,
47,865,865,30,24,30,0,30,0,30,650,60,24,0.32,0.06,0.1,0,325,,,
48,845,845,30,24,30,0,30,0,30,550,60,24,0.45,0.02,0.13,0,513,,,
49,845,845,30,24,30,0,30,0,30,550,60,24,0.45,0.01,0.11,0,448,,,
50,845,845,30,24,30,0,30,0,30,550,60,24,0.45,0.12,0.06,0,465,,,
51,845,845,30,24,30,0,30,0,30,550,60,24,0.44,0.03,0.02,0,446,,,
52,845,845,30,24,30,0,30,0,30,550,60,24,0.42,0.01,0.02,0,437,,,
53,845,845,30,24,30,0,30,0,30,550,60,24,0.48,0.02,0.1,0,502,,,
54,845,845,30,24,30,0,30,0,30,550,60,24,0.47,0.13,0.04,0,465,,,
55,845,845,30,24,30,0,30,0,30,550,60,24,0.43,0.01,0.12,0,475,,,
56,845,845,30,24,30,0,30,0,30,550,60,24,0.49,0.02,0.09,0,504,,,
57,845,845,30,24,30,0,30,0,30,550,60,24,0.45,0.12,0.04,0,486,,,
58,845,845,30,24,30,0,30,0,30,550,60,24,0.42,0.01,0.1,0,452,,,
59,845,845,30,24,30,0,30,0,30,600,60,24,0.45,0.02,0.13,0,459,,,
60,845,845,30,24,30,0,30,0,30,600,60,24,0.45,0.01,0.11,0,415,,,
61,845,845,30,24,30,0,30,0,30,600,60,24,0.45,0.12,0.06,0,437,,,
62,845,845,30,24,30,0,30,0,30,600,60,24,0.44,0.03,0.02,0,415,,,
63,845,845,30,24,30,0,30,0,30,600,60,24,0.42,0.01,0.02,0,401,,,
64,845,845,30,24,30,0,30,0,30,600,60,24,0.48,0.02,0.1,0,463,,,
65,845,845,30,24,30,0,30,0,30,600,60,24,0.47,0.13,0.04,0,442,,,
66,845,845,30,24,30,0,30,0,30,600,60,24,0.43,0.01,0.12,0,438,,,
67,845,845,30,24,30,0,30,0,30,600,60,24,0.49,0.02,0.09,0,468,,,
68,845,845,30,24,30,0,30,0,30,600,60,24,0.45,0.12,0.04,0,452,,,
69,845,845,30,24,30,0,30,0,30,600,60,24,0.42,0.01,0.1,0,422,,,
70,845,845,30,24,30,0,30,0,30,650,60,24,0.45,0.02,0.13,0,413,,,
71,845,845,30,24,30,0,30,0,30,650,60,24,0.45,0.01,0.11,0,395,,,
72,845,845,30,24,30,0,30,0,30,650,60,24,0.45,0.12,0.06,0,398,,,
73,845,845,30,24,30,0,30,0,30,650,60,24,0.44,0.03,0.02,0,378,,,
74,845,845,30,24,30,0,30,0,30,650,60,24,0.42,0.01,0.02,0,372,,,
75,845,845,30,24,30,0,30,0,30,650,60,24,0.48,0.02,0.1,0,415,,,
76,845,845,30,24,30,0,30,0,30,650,60,24,0.47,0.13,0.04,0,396,,,
77,845,845,30,24,30,0,30,0,30,650,60,24,0.43,0.01,0.12,0,388,,,
78,845,845,30,24,30,0,30,0,30,650,60,24,0.49,0.02,0.09,0,415,,,
79,845,845,30,24,30,0,30,0,30,650,60,24,0.45,0.12,0.04,0,398,,,
80,845,845,30,24,30,0,30,0,30,650,60,24,0.42,0.01,0.1,0,382,,,
81,825,825,30,24,30,0,30,0,30,550,60,24,0.55,0.01,0.09,0,523,,,
82,825,825,30,24,30,0,30,0,30,550,60,24,0.54,0.02,0.12,0,534,,,
83,825,825,30,24,30,0,30,0,30,550,60,24,0.52,0.04,0.04,0,489,,,
84,825,825,30,24,30,0,30,0,30,550,60,24,0.56,0.04,0.13,0,500,,,
85,825,825,30,24,30,0,30,0,30,550,60,24,0.54,0.01,0.01,0,495,,,
86,825,825,30,24,30,0,30,0,30,550,60,24,0.57,0.01,0.12,0,522,,,
87,825,825,30,24,30,0,30,0,30,550,60,24,0.53,0.02,0.12,0,531,,,
88,825,825,30,24,30,0,30,0,30,550,60,24,0.57,0.02,0.1,0,533,,,
89,825,825,30,24,30,0,30,0,30,550,60,24,0.56,0.03,0.1,0,492,,,
90,825,825,30,24,30,0,30,0,30,550,60,24,0.52,0.02,0.1,0,505,,,
91,825,825,30,24,30,0,30,0,30,550,60,24,0.54,0.06,0.1,0,541,,,
92,825,825,30,24,30,0,30,0,30,600,60,24,0.55,0.01,0.09,0,468,,,
93,825,825,30,24,30,0,30,0,30,600,60,24,0.54,0.02,0.12,0,459,,,
94,825,825,30,24,30,0,30,0,30,600,60,24,0.52,0.04,0.04,0,444,,,
95,825,825,30,24,30,0,30,0,30,600,60,24,0.56,0.04,0.13,0,458,,,
96,825,825,30,24,30,0,30,0,30,600,60,24,0.54,0.01,0.01,0,445,,,
97,825,825,30,24,30,0,30,0,30,600,60,24,0.57,0.01,0.12,0,464,,,
98,825,825,30,24,30,0,30,0,30,600,60,24,0.53,0.02,0.12,0,466,,,
99,825,825,30,24,30,0,30,0,30,600,60,24,0.57,0.02,0.1,0,486,,,
100,825,825,30,24,30,0,30,0,30,600,60,24,0.56,0.03,0.1,0,461,,,
101,825,825,30,24,30,0,30,0,30,600,60,24,0.52,0.02,0.1,0,464,,,
102,825,825,30,24,30,0,30,0,30,600,60,24,0.54,0.06,0.1,0,475,,,
103,825,825,30,24,30,0,30,0,30,650,60,24,0.55,0.01,0.09,0,419,,,
104,825,825,30,24,30,0,30,0,30,650,60,24,0.54,0.02,0.12,0,418,,,
105,825,825,30,24,30,0,30,0,30,650,60,24,0.52,0.04,0.04,0,402,,,
106,825,825,30,24,30,0,30,0,30,650,60,24,0.56,0.04,0.13,0,398,,,
107,825,825,30,24,30,0,30,0,30,650,60,24,0.54,0.01,0.01,0,411,,,
108,825,825,30,24,30,0,30,0,30,650,60,24,0.57,0.01,0.12,0,428,,,
109,825,825,30,24,30,0,30,0,30,650,60,24,0.53,0.02,0.12,0,415,,,
110,825,825,30,24,30,0,30,0,30,650,60,24,0.57,0.02,0.1,0,425,,,
111,825,825,30,24,30,0,30,0,30,650,60,24,0.56,0.03,0.1,0,412,,,
112,825,825,30,24,30,0,30,0,30,650,60,24,0.52,0.02,0.1,0,410,,,
113,825,825,30,24,30,0,30,0,30,650,60,24,0.54,0.06,0.1,0,415,,,
114,870,855,30,8,30,0,30,0,30,550,60,24,0.43,0.03,1.12,0,582,,,
115,870,855,30,8,30,0,30,0,30,550,60,24,0.42,0.02,0.96,0,524,,,
116,870,855,30,8,30,0,30,0,30,550,60,24,0.4,0.07,1.1,0,583,,,
117,870,855,30,8,30,0,30,0,30,550,60,24,0.42,0.03,1.06,0,569,,,
118,870,855,30,8,30,0,30,0,30,550,60,24,0.39,0.06,0.98,0,536,,,
119,870,855,30,8,30,0,30,0,30,550,60,24,0.42,0.03,1.09,0,577,,,
120,870,855,30,8,30,0,30,0,30,550,60,24,0.42,0.04,0.94,0,565,,,
121,870,855,30,8,30,0,30,0,30,550,60,24,0.4,0.05,1.09,0,562,,,
122,870,855,30,8,30,0,30,0,30,600,60,24,0.43,0.03,1.12,0,522,,,
123,870,855,30,8,30,0,30,0,30,600,60,24,0.42,0.02,0.96,0,504,,,
124,870,855,30,8,30,0,30,0,30,600,60,24,0.4,0.07,1.1,0,516,,,
125,870,855,30,8,30,0,30,0,30,600,60,24,0.42,0.03,1.06,0,517,,,
126,870,855,30,8,30,0,30,0,30,600,60,24,0.39,0.06,0.98,0,511,,,
127,870,855,30,8,30,0,30,0,30,600,60,24,0.42,0.03,1.09,0,518,,,
128,870,855,30,8,30,0,30,0,30,600,60,24,0.42,0.04,0.94,0,524,,,
129,870,855,30,8,30,0,30,0,30,600,60,24,0.4,0.05,1.09,0,503,,,
130,870,855,30,8,30,0,30,0,30,650,60,24,0.43,0.03,1.12,0,483,,,
131,870,855,30,8,30,0,30,0,30,650,60,24,0.42,0.02,0.96,0,457,,,
132,870,855,30,8,30,0,30,0,30,650,60,24,0.4,0.07,1.1,0,482,,,
133,870,855,30,8,30,0,30,0,30,650,60,24,0.42,0.03,1.06,0,470,,,
134,870,855,30,8,30,0,30,0,30,650,60,24,0.39,0.06,0.98,0,459,,,
135,870,855,30,8,30,0,30,0,30,650,60,24,0.42,0.03,1.09,0,490,,,
